ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
5445,Andrea Allen,18/01/2022,136
5446,Anthony Smith,12/02/2022,399
5447,Michael Bishop,30/03/2022,972
5448,Sarah Brown,27/11/2022,85
5449,Daniel Rodriguez,18/05/2022,629
5450,Gregory Smith,28/01/2022,393
5451,Colleen Rodriguez,14/08/2022,827
5452,Michael Sampson,04/01/2022,812
5453,Colleen Allen,02/09/2022,24
5454,Jordan Sampson,13/03/2022,180
5455,Andrea Sampson,26/03/2022,825
5456,Anthony Allen,27/01/2022,211
5457,Daniel Sampson,07/07/2022,830
5458,Michael Williams,23/03/2022,226
5459,Daniel Brown,31/03/2022,187
5460,Anthony Simpson,03/03/2022,237
5461,Michael Johnson,03/03/2022,236
5462,Michael Bishop,08/08/2022,796
5463,Anthony Williams,20/10/2022,699
5464,Michael Jones,13/07/2022,711
5465,Daniel Simpson,31/01/2022,731
5466,Andrea Sampson,27/12/2022,742
5467,Daniel Jones,17/04/2022,214
5468,Daniel Simpson,28/08/2022,36
5469,Anthony Allen,31/12/2022,746
5470,Daniel Rodriguez,21/11/2022,650
5471,Jordan Jones,23/09/2022,630
5472,Jessica Williams,23/12/2022,817
5473,Andrea Jones,05/12/2022,604
5474,Susan Rodriguez,22/10/2022,572
5475,Jessica Jones,24/08/2022,368
5476,Jessica Williams,20/07/2022,275
5477,Jordan Williams,18/07/2022,454
5478,Anthony Smith,26/09/2022,217
5479,Jordan Allen,15/01/2022,513
5480,Anthony Jones,15/09/2022,829
5481,Jordan Johnson,13/11/2022,340
5482,Gregory Bishop,29/07/2022,67
5483,Anthony Jones,18/07/2022,733
5484,Colleen Bishop,20/06/2022,157
5485,Anthony Jones,23/01/2022,213
5486,Jessica Rodriguez,14/03/2022,404
5487,Gregory Sampson,01/01/2022,283
5488,Colleen Williams,09/01/2022,479
5489,Andrea Jones,24/07/2022,748
5490,Gregory Smith,28/04/2022,256
5491,Michael Brown,25/04/2022,281
5492,Andrea Jones,24/11/2022,80
5493,Jessica Rodriguez,05/01/2022,754
5494,Gregory Rodriguez,19/06/2022,117
5495,Andrea Sampson,19/02/2022,136
5496,Daniel Jones,25/12/2022,549
5497,Andrea Bishop,01/08/2022,416
5498,Colleen Jones,20/09/2022,116
5499,Colleen Johnson,18/05/2022,861
5500,Gregory Jones,04/03/2022,203
5501,Andrea Allen,26/12/2022,318
5502,Colleen Jones,15/01/2022,792
5503,Andrea Smith,11/03/2022,159
5504,Anthony Williams,22/09/2022,322
5505,Michael Rodriguez,28/06/2022,624
5506,Jordan Smith,22/12/2022,943
5507,Sarah Brown,23/07/2022,143
5508,Jessica Bishop,04/02/2022,799
5509,Gregory Simpson,25/10/2022,790
5510,Michael Sampson,20/12/2022,239
5511,Andrea Smith,23/12/2022,547
5512,Gregory Williams,11/09/2022,47
5513,Jordan Allen,30/10/2022,48
5514,Gregory Allen,08/07/2022,25
5515,Susan Johnson,10/09/2022,960
5516,Anthony Johnson,02/03/2022,552
5517,Gregory Bishop,17/07/2022,229
5518,Anthony Rodriguez,13/08/2022,259
5519,Jessica Williams,02/09/2022,634
5520,Susan Bishop,28/12/2022,128
5521,Susan Williams,26/09/2022,792
5522,Jordan Jones,28/08/2022,348
5523,Jessica Allen,12/12/2022,27
5524,Susan Brown,06/09/2022,849
5525,Jessica Rodriguez,17/11/2022,559
5526,Daniel Sampson,05/09/2022,956
5527,Colleen Brown,12/06/2022,293
5528,Susan Jones,28/03/2022,298
5529,Anthony Johnson,14/10/2022,418
5530,Colleen Allen,12/05/2022,143
5531,Jordan Allen,23/12/2022,441
5532,Michael Bishop,03/12/2022,974
5533,Anthony Simpson,20/09/2022,98
5534,Daniel Williams,30/11/2022,674
5535,Michael Simpson,13/04/2022,691
5536,Michael Sampson,10/05/2022,74
5537,Andrea Jones,14/04/2022,367
5538,Daniel Johnson,21/12/2022,286
5539,Jessica Johnson,19/07/2022,613
5540,Jessica Brown,10/02/2022,72
5541,Daniel Brown,01/07/2022,891
5542,Jessica Bishop,10/01/2022,620
5543,Sarah Sampson,18/02/2022,514
5544,Gregory Williams,11/11/2022,58
5545,Gregory Bishop,04/11/2022,952
5546,Colleen Sampson,31/01/2022,155
5547,Jordan Brown,28/09/2022,742
5548,Gregory Smith,06/05/2022,846
5549,Gregory Johnson,23/11/2022,414
5550,Andrea Johnson,27/11/2022,993
5551,Sarah Allen,21/04/2022,565
5552,Sarah Allen,11/07/2022,603
5553,Susan Bishop,31/08/2022,735
5554,Colleen Johnson,16/11/2022,946
5555,Jessica Smith,29/05/2022,636
5556,Andrea Sampson,04/03/2022,123
5557,Sarah Jones,20/02/2022,637
5558,Sarah Sampson,20/12/2022,662
5559,Gregory Rodriguez,26/01/2022,868
5560,Michael Rodriguez,03/01/2022,869
5561,Michael Simpson,13/03/2022,138
5562,Susan Simpson,14/04/2022,906
5563,Daniel Bishop,26/05/2022,723
5564,Andrea Sampson,19/02/2022,306
5565,Gregory Simpson,14/12/2022,170
5566,Andrea Simpson,18/08/2022,608
5567,Jessica Jones,14/06/2022,180
5568,Gregory Williams,21/07/2022,588
5569,Gregory Smith,28/04/2022,890
5570,Sarah Jones,03/01/2022,216
5571,Susan Allen,06/11/2022,580
5572,Colleen Allen,19/07/2022,26
5573,Jordan Sampson,01/03/2022,485
5574,Colleen Brown,01/07/2022,19
5575,Colleen Rodriguez,02/06/2022,628
5576,Andrea Jones,28/12/2022,328
5577,Andrea Smith,25/12/2022,413
5578,Andrea Williams,14/06/2022,699
5579,Sarah Williams,30/12/2022,327
5580,Susan Simpson,10/05/2022,575
5581,Andrea Allen,20/11/2022,252
5582,Andrea Allen,11/01/2022,953
5583,Gregory Brown,23/12/2022,855
5584,Anthony Sampson,10/12/2022,391
5585,Michael Brown,12/09/2022,526
5586,Colleen Brown,07/07/2022,993
5587,Sarah Smith,13/12/2022,874
5588,Susan Jones,18/01/2022,114
5589,Gregory Jones,25/05/2022,237
5590,Gregory Allen,06/05/2022,413
5591,Jessica Jones,18/02/2022,728
5592,Anthony Allen,22/12/2022,810
5593,Colleen Johnson,01/10/2022,106
5594,Andrea Jones,04/01/2022,816
5595,Susan Brown,09/02/2022,997
5596,Colleen Simpson,08/10/2022,968
5597,Sarah Allen,17/06/2022,1
5598,Sarah Simpson,17/12/2022,748
5599,Anthony Johnson,04/03/2022,713
5600,Michael Jones,28/09/2022,64
5601,Susan Smith,16/09/2022,700
5602,Sarah Williams,03/09/2022,45
5603,Andrea Allen,21/09/2022,857
5604,Susan Jones,13/04/2022,792
5605,Michael Allen,01/01/2022,561
5606,Anthony Brown,26/03/2022,1
5607,Andrea Brown,19/10/2022,428
5608,Michael Simpson,04/03/2022,191
5609,Michael Sampson,10/07/2022,616
5610,Anthony Rodriguez,01/07/2022,981
5611,Susan Simpson,25/11/2022,694
5612,Sarah Sampson,19/01/2022,69
5613,Andrea Bishop,23/01/2022,633
5614,Daniel Rodriguez,01/03/2022,4
5615,Jessica Sampson,31/08/2022,391
5616,Gregory Allen,01/07/2022,409
5617,Daniel Johnson,10/04/2022,493
5618,Anthony Jones,02/04/2022,398
5619,Jordan Simpson,14/05/2022,807
5620,Gregory Allen,30/08/2022,650
5621,Anthony Simpson,02/07/2022,734
5622,Colleen Smith,31/03/2022,118
5623,Jessica Rodriguez,16/04/2022,661
5624,Andrea Smith,12/08/2022,568
5625,Daniel Simpson,13/04/2022,556
5626,Michael Smith,31/12/2022,970
5627,Jessica Bishop,07/09/2022,631
5628,Anthony Simpson,25/03/2022,124
5629,Michael Allen,14/06/2022,563
5630,Daniel Johnson,13/11/2022,343
5631,Susan Bishop,07/06/2022,311
5632,Daniel Rodriguez,20/11/2022,889
5633,Gregory Johnson,10/05/2022,407
5634,Michael Johnson,22/12/2022,925
5635,Andrea Bishop,20/11/2022,556
5636,Anthony Bishop,22/12/2022,447
5637,Sarah Williams,26/02/2022,835
5638,Michael Johnson,23/08/2022,718
5639,Daniel Johnson,01/08/2022,415
5640,Anthony Jones,29/08/2022,393
5641,Colleen Jones,14/08/2022,19
5642,Sarah Jones,02/06/2022,639
5643,Jessica Jones,06/01/2022,821
5644,Gregory Williams,22/01/2022,227
5645,Daniel Rodriguez,15/01/2022,669
5646,Michael Williams,17/12/2022,206
5647,Michael Smith,03/11/2022,183
5648,Andrea Johnson,19/09/2022,80
5649,Susan Smith,12/07/2022,591
5650,Daniel Johnson,08/05/2022,501
5651,Sarah Jones,09/07/2022,63
5652,Daniel Smith,22/01/2022,694
5653,Jessica Jones,07/06/2022,187
5654,Colleen Johnson,31/07/2022,160
5655,Jessica Johnson,17/08/2022,80
5656,Colleen Allen,03/08/2022,958
5657,Daniel Simpson,29/12/2022,183
5658,Colleen Brown,10/07/2022,537
5659,Colleen Jones,01/03/2022,963
5660,Susan Bishop,19/04/2022,464
5661,Andrea Smith,20/04/2022,480
5662,Anthony Johnson,22/12/2022,360
5663,Susan Johnson,09/03/2022,403
5664,Andrea Rodriguez,05/08/2022,883
5665,Andrea Allen,17/12/2022,521
5666,Sarah Sampson,23/01/2022,716
5667,Susan Rodriguez,18/10/2022,485
5668,Anthony Smith,24/12/2022,848
5669,Daniel Rodriguez,30/12/2022,567
5670,Michael Smith,18/04/2022,190
5671,Anthony Sampson,25/12/2022,472
5672,Jordan Rodriguez,20/05/2022,111
5673,Anthony Brown,09/11/2022,867
5674,Susan Jones,22/10/2022,764
5675,Anthony Brown,28/11/2022,586
5676,Michael Simpson,13/01/2022,683
5677,Gregory Smith,05/09/2022,162
5678,Anthony Allen,01/05/2022,933
5679,Susan Simpson,24/08/2022,201
5680,Susan Smith,20/07/2022,315
5681,Sarah Jones,26/12/2022,390
5682,Gregory Smith,09/02/2022,593
5683,Anthony Jones,26/11/2022,181
5684,Colleen Simpson,27/12/2022,706
5685,Gregory Rodriguez,13/11/2022,146
5686,Sarah Bishop,13/02/2022,279
5687,Jessica Smith,12/12/2022,157
5688,Jessica Bishop,02/03/2022,70
5689,Anthony Jones,10/12/2022,783
5690,Sarah Sampson,28/07/2022,941
5691,Gregory Simpson,10/12/2022,941
5692,Gregory Brown,01/11/2022,248
5693,Gregory Simpson,29/06/2022,447
5694,Michael Williams,13/08/2022,78
5695,Jessica Williams,28/08/2022,309
5696,Anthony Williams,26/03/2022,523
5697,Colleen Brown,13/11/2022,430
5698,Jessica Williams,17/03/2022,104
5699,Jessica Brown,23/06/2022,828
5700,Colleen Rodriguez,27/12/2022,175
5701,Jordan Allen,11/02/2022,774
5702,Gregory Rodriguez,06/06/2022,672
5703,Jessica Williams,08/03/2022,20
5704,Susan Simpson,19/12/2022,388
5705,Sarah Allen,30/04/2022,989
5706,Susan Johnson,07/11/2022,752
5707,Gregory Simpson,27/02/2022,264
5708,Jessica Smith,28/06/2022,61
5709,Susan Brown,27/05/2022,740
5710,Jordan Allen,30/04/2022,865
5711,Michael Johnson,11/05/2022,123
5712,Daniel Bishop,21/10/2022,336
5713,Jordan Williams,20/07/2022,355
5714,Jessica Williams,21/07/2022,238
5715,Jessica Rodriguez,16/11/2022,718
5716,Anthony Williams,22/06/2022,257
5717,Michael Williams,30/04/2022,205
5718,Michael Smith,04/03/2022,737
5719,Susan Rodriguez,07/01/2022,363
5720,Jessica Smith,27/04/2022,583
5721,Gregory Sampson,27/12/2022,435
5722,Jessica Brown,31/03/2022,86
5723,Sarah Williams,28/03/2022,50
5724,Sarah Johnson,31/07/2022,455
5725,Anthony Brown,05/08/2022,813
5726,Jessica Williams,12/07/2022,77
5727,Gregory Rodriguez,20/10/2022,827
5728,Daniel Allen,31/10/2022,155
5729,Jordan Williams,23/11/2022,646
5730,Gregory Williams,30/10/2022,675
5731,Jessica Jones,10/08/2022,873
5732,Susan Sampson,31/03/2022,860
5733,Susan Smith,09/09/2022,935
5734,Sarah Jones,14/10/2022,213
5735,Daniel Simpson,10/09/2022,236
5736,Andrea Sampson,14/03/2022,576
5737,Susan Rodriguez,09/04/2022,625
5738,Jessica Jones,17/09/2022,547
5739,Daniel Allen,18/10/2022,866
5740,Anthony Williams,21/08/2022,887
5741,Daniel Jones,14/01/2022,649
5742,Anthony Rodriguez,06/12/2022,704
5743,Daniel Johnson,07/06/2022,931
5744,Gregory Sampson,01/06/2022,365
5745,Anthony Allen,11/04/2022,31
5746,Susan Bishop,07/12/2022,686
5747,Daniel Jones,01/01/2022,393
5748,Anthony Allen,08/07/2022,363
5749,Andrea Simpson,14/09/2022,126
5750,Jessica Simpson,10/09/2022,177
5751,Jessica Williams,12/09/2022,333
5752,Susan Williams,18/09/2022,230
5753,Jessica Allen,14/08/2022,538
5754,Gregory Allen,08/11/2022,678
5755,Anthony Simpson,23/11/2022,332
5756,Jordan Johnson,03/02/2022,596
5757,Andrea Simpson,11/09/2022,600
5758,Jessica Simpson,04/07/2022,106
5759,Michael Bishop,16/04/2022,706
5760,Anthony Brown,24/03/2022,914
5761,Colleen Sampson,08/12/2022,28
5762,Andrea Johnson,07/02/2022,575
5763,Andrea Allen,26/06/2022,916
5764,Andrea Simpson,17/03/2022,543
5765,Susan Rodriguez,25/07/2022,575
5766,Daniel Allen,15/02/2022,572
5767,Daniel Williams,05/02/2022,539
5768,Colleen Bishop,23/01/2022,484
5769,Andrea Brown,02/06/2022,777
5770,Gregory Jones,20/12/2022,761
5771,Gregory Brown,18/01/2022,510
5772,Andrea Jones,12/07/2022,978
5773,Colleen Rodriguez,18/12/2022,41
5774,Susan Johnson,22/07/2022,338
5775,Daniel Allen,12/05/2022,541
5776,Daniel Williams,24/11/2022,403
5777,Gregory Johnson,10/05/2022,797
5778,Sarah Allen,27/03/2022,859
5779,Michael Smith,20/12/2022,379
5780,Michael Brown,02/06/2022,719
5781,Jessica Williams,18/03/2022,893
5782,Jessica Allen,21/09/2022,566
5783,Colleen Brown,03/09/2022,50
5784,Jessica Williams,15/07/2022,774
5785,Anthony Sampson,25/12/2022,350
5786,Daniel Williams,05/12/2022,206
5787,Gregory Johnson,20/11/2022,762
5788,Andrea Brown,18/07/2022,631
5789,Gregory Johnson,02/09/2022,878
5790,Jessica Williams,23/12/2022,780
5791,Anthony Smith,27/04/2022,624
5792,Michael Rodriguez,22/12/2022,190
5793,Colleen Rodriguez,25/02/2022,868
5794,Gregory Johnson,29/12/2022,244
5795,Jessica Bishop,08/02/2022,834
5796,Susan Sampson,29/04/2022,41
5797,Jordan Bishop,12/09/2022,584
5798,Michael Sampson,15/07/2022,923
5799,Jordan Bishop,19/11/2022,170
5800,Colleen Allen,18/03/2022,109
5801,Colleen Bishop,02/02/2022,688
5802,Michael Jones,18/08/2022,704
5803,Daniel Jones,29/05/2022,819
5804,Jordan Smith,10/04/2022,714
5805,Daniel Simpson,21/04/2022,19
5806,Michael Bishop,12/04/2022,521
5807,Daniel Rodriguez,29/03/2022,790
5808,Susan Brown,03/09/2022,192
5809,Jordan Williams,08/07/2022,939
5810,Andrea Williams,15/06/2022,340
5811,Colleen Jones,19/10/2022,98
5812,Gregory Sampson,21/04/2022,811
5813,Andrea Jones,12/04/2022,667
5814,Susan Williams,14/04/2022,911
5815,Jessica Sampson,11/11/2022,815
5816,Andrea Williams,09/06/2022,699
5817,Jessica Bishop,23/08/2022,537
5818,Colleen Johnson,25/04/2022,25
5819,Colleen Brown,02/03/2022,718
5820,Colleen Allen,12/12/2022,221
5821,Colleen Simpson,22/05/2022,859
5822,Jessica Johnson,25/04/2022,422
5823,Susan Simpson,08/02/2022,637
5824,Sarah Rodriguez,28/04/2022,766
5825,Susan Johnson,08/03/2022,720
5826,Jessica Brown,01/05/2022,905
5827,Michael Johnson,05/07/2022,296
5828,Gregory Simpson,12/04/2022,439
5829,Andrea Williams,17/06/2022,538
5830,Jordan Williams,12/05/2022,132
5831,Anthony Allen,07/06/2022,812
5832,Daniel Rodriguez,28/05/2022,344
5833,Daniel Williams,19/11/2022,96
5834,Jordan Rodriguez,03/11/2022,835
5835,Gregory Brown,14/11/2022,790
5836,Michael Smith,15/08/2022,964
5837,Sarah Rodriguez,26/02/2022,494
5838,Jordan Simpson,07/11/2022,817
5839,Andrea Allen,24/09/2022,764
5840,Susan Brown,06/10/2022,357
5841,Sarah Allen,02/05/2022,143
5842,Colleen Smith,25/08/2022,335
5843,Colleen Bishop,31/12/2022,225
5844,Jessica Brown,24/05/2022,471
5845,Susan Johnson,13/06/2022,462
5846,Michael Brown,08/01/2022,556
5847,Sarah Bishop,07/04/2022,172
5848,Daniel Bishop,16/04/2022,423
5849,Jessica Bishop,15/06/2022,352
5850,Jessica Jones,20/09/2022,155
5851,Jessica Smith,14/02/2022,830
5852,Daniel Allen,15/12/2022,872
5853,Sarah Simpson,09/01/2022,654
5854,Sarah Brown,25/10/2022,348
5855,Daniel Sampson,05/09/2022,318
5856,Colleen Simpson,17/07/2022,197
5857,Michael Bishop,05/03/2022,441
5858,Sarah Smith,15/05/2022,615
5859,Anthony Johnson,20/01/2022,465
5860,Susan Williams,11/08/2022,211
5861,Anthony Jones,08/02/2022,28
5862,Susan Simpson,15/12/2022,518
5863,Michael Williams,09/06/2022,151
5864,Susan Simpson,22/09/2022,515
5865,Colleen Brown,01/09/2022,858
5866,Anthony Allen,30/12/2022,605
5867,Michael Williams,13/06/2022,622
5868,Michael Williams,23/09/2022,337
5869,Jordan Brown,30/05/2022,143
5870,Michael Allen,15/02/2022,938
5871,Michael Bishop,14/05/2022,807
5872,Andrea Bishop,12/11/2022,189
5873,Sarah Brown,21/05/2022,743
5874,Sarah Williams,17/05/2022,441
5875,Andrea Sampson,17/06/2022,576
5876,Andrea Williams,16/01/2022,668
5877,Jordan Sampson,23/06/2022,470
5878,Anthony Rodriguez,06/04/2022,313
5879,Sarah Simpson,27/08/2022,413
5880,Daniel Williams,16/01/2022,144
5881,Colleen Williams,25/02/2022,367
5882,Michael Allen,06/05/2022,517
5883,Anthony Bishop,15/08/2022,854
5884,Daniel Johnson,19/06/2022,937
5885,Michael Williams,21/02/2022,297
5886,Susan Sampson,09/09/2022,515
5887,Gregory Johnson,21/03/2022,231
5888,Colleen Allen,11/04/2022,59
5889,Jessica Sampson,06/05/2022,148
5890,Andrea Rodriguez,24/11/2022,977
5891,Gregory Jones,17/01/2022,251
5892,Jordan Jones,19/01/2022,965
5893,Jessica Jones,26/11/2022,15
5894,Jordan Rodriguez,17/06/2022,674
5895,Daniel Brown,21/05/2022,508
5896,Colleen Bishop,24/03/2022,108
5897,Daniel Jones,28/12/2022,574
5898,Daniel Rodriguez,09/08/2022,51
5899,Gregory Rodriguez,21/10/2022,861
5900,Andrea Rodriguez,25/01/2022,448
5901,Michael Jones,14/05/2022,128
5902,Jordan Sampson,12/12/2022,371
5903,Susan Bishop,15/04/2022,795
5904,Gregory Rodriguez,05/12/2022,114
5905,Gregory Simpson,17/12/2022,773
5906,Michael Bishop,17/11/2022,943
5907,Gregory Rodriguez,19/01/2022,964
5908,Susan Simpson,17/07/2022,733
5909,Jordan Williams,21/07/2022,745
5910,Jessica Simpson,22/11/2022,563
5911,Andrea Jones,26/04/2022,817
5912,Andrea Allen,31/07/2022,232
5913,Michael Rodriguez,27/11/2022,618
5914,Sarah Allen,03/10/2022,298
5915,Jordan Williams,19/09/2022,173
5916,Colleen Sampson,05/02/2022,481
5917,Gregory Bishop,26/10/2022,204
5918,Gregory Smith,10/01/2022,540
5919,Jordan Smith,09/10/2022,131
5920,Andrea Williams,17/01/2022,652
5921,Jessica Brown,11/10/2022,686
5922,Michael Simpson,04/04/2022,615
5923,Michael Williams,20/08/2022,832
5924,Andrea Sampson,16/12/2022,637
5925,Susan Brown,08/01/2022,189
5926,Jessica Simpson,04/01/2022,945
5927,Sarah Bishop,28/03/2022,656
5928,Sarah Simpson,26/03/2022,392
5929,Michael Simpson,01/07/2022,283
5930,Anthony Simpson,29/11/2022,580
5931,Andrea Bishop,12/09/2022,793
5932,Gregory Allen,09/08/2022,897
5933,Andrea Jones,26/05/2022,649
5934,Daniel Smith,03/10/2022,933
5935,Michael Williams,04/05/2022,765
5936,Gregory Jones,29/12/2022,462
5937,Anthony Smith,08/01/2022,190
5938,Colleen Johnson,27/02/2022,869
5939,Jessica Simpson,01/12/2022,118
5940,Andrea Sampson,22/04/2022,389
5941,Colleen Johnson,15/05/2022,657
5942,Colleen Brown,04/05/2022,853
5943,Andrea Sampson,06/07/2022,840
5944,Anthony Allen,26/07/2022,529
5945,Andrea Sampson,17/10/2022,215
5946,Michael Williams,26/01/2022,88
5947,Anthony Johnson,11/03/2022,18
5948,Colleen Johnson,16/09/2022,971
5949,Daniel Brown,01/05/2022,926
5950,Sarah Rodriguez,29/01/2022,398
5951,Susan Simpson,24/01/2022,525
5952,Jordan Williams,21/01/2022,781
5953,Susan Sampson,16/01/2022,444
5954,Colleen Williams,22/03/2022,982
5955,Jessica Jones,10/07/2022,917
5956,Anthony Bishop,11/02/2022,958
5957,Colleen Bishop,04/04/2022,191
5958,Daniel Sampson,11/07/2022,196
5959,Andrea Allen,03/05/2022,507
5960,Gregory Bishop,01/05/2022,452
5961,Michael Johnson,25/09/2022,475
5962,Colleen Simpson,25/11/2022,871
5963,Susan Smith,17/06/2022,25
5964,Colleen Johnson,19/05/2022,612
5965,Gregory Brown,17/10/2022,758
5966,Gregory Jones,31/07/2022,763
5967,Gregory Allen,07/03/2022,921
5968,Michael Sampson,07/10/2022,338
5969,Susan Sampson,04/03/2022,241
5970,Colleen Sampson,05/04/2022,309
5971,Andrea Sampson,04/05/2022,837
5972,Daniel Simpson,23/07/2022,469
5973,Jessica Bishop,28/09/2022,195
5974,Susan Sampson,02/03/2022,784
5975,Sarah Johnson,05/12/2022,819
5976,Andrea Jones,03/01/2022,812
5977,Jordan Allen,25/07/2022,523
5978,Jessica Sampson,20/01/2022,61
5979,Anthony Brown,12/05/2022,694
5980,Anthony Brown,07/03/2022,5
5981,Sarah Johnson,19/06/2022,924
5982,Jessica Smith,19/01/2022,854
5983,Jessica Rodriguez,14/08/2022,182
5984,Gregory Brown,09/09/2022,834
5985,Michael Rodriguez,26/12/2022,775
5986,Andrea Sampson,08/03/2022,187
5987,Gregory Rodriguez,29/11/2022,583
5988,Jordan Sampson,21/05/2022,946
5989,Jessica Sampson,13/11/2022,415
5990,Daniel Smith,11/11/2022,967
5991,Andrea Williams,27/02/2022,717
5992,Colleen Bishop,14/06/2022,161
5993,Andrea Sampson,23/07/2022,53
5994,Michael Rodriguez,21/11/2022,432
5995,Jessica Bishop,08/12/2022,93
5996,Anthony Johnson,04/04/2022,220
5997,Gregory Simpson,28/09/2022,899
5998,Colleen Allen,20/08/2022,55
5999,Andrea Johnson,11/04/2022,433
6000,Jordan Brown,09/09/2022,241
6001,Daniel Allen,19/11/2022,738
6002,Colleen Rodriguez,30/01/2022,861
6003,Michael Simpson,16/01/2022,166
6004,Daniel Simpson,13/02/2022,627
6005,Colleen Allen,07/12/2022,886
6006,Sarah Smith,19/11/2022,137
6007,Sarah Smith,01/01/2022,328
6008,Susan Jones,09/09/2022,593
6009,Michael Allen,24/11/2022,358
6010,Susan Bishop,26/09/2022,223
6011,Gregory Allen,07/11/2022,585
6012,Jessica Jones,11/08/2022,322
6013,Susan Allen,06/01/2022,569
6014,Michael Bishop,21/04/2022,240
6015,Michael Brown,07/06/2022,498
6016,Anthony Bishop,26/12/2022,937
6017,Anthony Brown,26/04/2022,641
6018,Anthony Rodriguez,28/01/2022,257
6019,Andrea Sampson,21/09/2022,703
6020,Susan Smith,28/05/2022,111
6021,Michael Jones,03/10/2022,707
6022,Gregory Sampson,23/04/2022,218
6023,Andrea Smith,29/10/2022,842
6024,Andrea Bishop,01/08/2022,738
6025,Daniel Brown,16/06/2022,424
6026,Susan Brown,14/10/2022,802
6027,Michael Smith,26/01/2022,780
6028,Sarah Williams,21/05/2022,748
6029,Jessica Simpson,10/07/2022,373
6030,Jordan Rodriguez,23/06/2022,525
6031,Anthony Williams,06/08/2022,564
6032,Andrea Rodriguez,04/05/2022,197
6033,Jessica Simpson,16/08/2022,381
6034,Anthony Jones,24/11/2022,803
6035,Colleen Allen,31/08/2022,458
6036,Colleen Bishop,26/10/2022,727
6037,Jessica Smith,22/07/2022,152
6038,Jordan Simpson,23/06/2022,311
6039,Jessica Bishop,10/08/2022,309
6040,Andrea Jones,07/08/2022,733
6041,Andrea Williams,27/09/2022,281
6042,Daniel Simpson,22/09/2022,347
6043,Jordan Williams,13/12/2022,836
6044,Jordan Simpson,31/12/2022,579
6045,Colleen Williams,20/02/2022,241
6046,Jessica Johnson,10/05/2022,659
6047,Anthony Allen,01/05/2022,437
6048,Susan Sampson,04/06/2022,788
6049,Sarah Bishop,22/06/2022,941
6050,Susan Williams,04/10/2022,629
6051,Daniel Williams,09/07/2022,662
6052,Michael Jones,03/05/2022,979
6053,Jordan Brown,03/05/2022,653
6054,Colleen Williams,09/12/2022,49
6055,Anthony Simpson,17/08/2022,548
6056,Susan Smith,10/05/2022,309
6057,Susan Bishop,04/10/2022,899
6058,Sarah Bishop,23/02/2022,169
6059,Michael Bishop,13/11/2022,586
6060,Anthony Williams,05/03/2022,462
6061,Andrea Williams,10/02/2022,691
6062,Jessica Bishop,04/01/2022,413
6063,Andrea Williams,02/05/2022,77
6064,Andrea Johnson,11/06/2022,87
6065,Susan Sampson,16/12/2022,452
6066,Anthony Bishop,05/11/2022,138
6067,Anthony Brown,30/08/2022,540
6068,Sarah Rodriguez,26/04/2022,277
6069,Sarah Allen,03/06/2022,100
6070,Anthony Allen,27/08/2022,969
6071,Michael Bishop,19/03/2022,804
6072,Sarah Allen,02/12/2022,81
6073,Andrea Smith,20/01/2022,418
6074,Gregory Johnson,24/01/2022,266
6075,Sarah Brown,22/05/2022,408
6076,Anthony Bishop,02/12/2022,384
6077,Susan Sampson,03/10/2022,398
6078,Michael Brown,13/09/2022,369
6079,Jordan Bishop,16/07/2022,53
6080,Michael Bishop,25/12/2022,833
6081,Susan Jones,15/05/2022,200
6082,Gregory Rodriguez,31/08/2022,351
6083,Sarah Brown,22/07/2022,548
6084,Susan Sampson,23/09/2022,890
6085,Andrea Smith,01/12/2022,551
6086,Susan Bishop,13/09/2022,227
6087,Daniel Simpson,31/03/2022,50
6088,Susan Brown,10/03/2022,784
6089,Jordan Bishop,15/09/2022,902
6090,Susan Simpson,10/09/2022,953
6091,Gregory Allen,13/02/2022,434
6092,Daniel Simpson,20/06/2022,195
6093,Sarah Allen,05/11/2022,818
6094,Sarah Johnson,25/08/2022,880
6095,Colleen Johnson,26/03/2022,291
6096,Daniel Bishop,31/07/2022,322
6097,Jessica Sampson,19/11/2022,723
6098,Michael Rodriguez,06/06/2022,78
6099,Michael Brown,07/07/2022,530
6100,Michael Williams,22/07/2022,221
6101,Colleen Bishop,12/11/2022,329
6102,Jordan Johnson,29/03/2022,78
6103,Michael Allen,10/06/2022,215
6104,Colleen Simpson,17/10/2022,949
6105,Daniel Allen,19/07/2022,133
6106,Sarah Williams,15/05/2022,641
6107,Jessica Sampson,02/12/2022,331
6108,Daniel Brown,19/08/2022,866
6109,Colleen Rodriguez,19/01/2022,633
6110,Jessica Allen,10/04/2022,694
6111,Michael Jones,10/07/2022,696
6112,Susan Brown,22/12/2022,368
6113,Jessica Williams,24/02/2022,843
6114,Susan Johnson,22/11/2022,231
6115,Anthony Bishop,30/11/2022,790
6116,Andrea Simpson,28/09/2022,748
6117,Colleen Smith,22/07/2022,286
6118,Andrea Smith,17/01/2022,907
6119,Jessica Bishop,31/10/2022,48
6120,Gregory Simpson,01/06/2022,675
6121,Sarah Sampson,07/01/2022,984
6122,Susan Johnson,20/07/2022,807
6123,Michael Johnson,12/06/2022,938
6124,Jessica Williams,02/01/2022,463
6125,Jessica Bishop,23/05/2022,905
6126,Anthony Smith,10/08/2022,410
